station_key,name,full_name,road_functional_hierarchy,lga,wgs84_latitude,wgs84_longitude,vehicle_classifier,device_type
55304,Sydney Harbour Tunnel,"Sydney Harbour Tunnel, North of Cahill Expressway",Primary Road,Sydney,-33.860836,151.213791,0,Trafficorder Loop Counter
55306,Western Distributor,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,Trafficorder Loop Counter
55307,Cahill Expressway,"Cahill Expressway, East of Pitt Street",Motorway,Sydney,-33.86129,151.209854,0,Trafficorder Loop Counter
55318,City Road,"City Road, East of Barff Road",Primary Road,Sydney,-33.888699,151.191421,0,Trafficorder Loop Counter
55322,Cleveland Street,"Cleveland Street, West of Pitt Street",Arterial Road,Sydney,-33.889385,151.203934,0,Trafficorder Loop Counter
55329,Enmore Road,"Enmore Road, East of Bailey Street",Arterial Road,Marrickville,-33.898201,151.177399,0,Trafficorder Loop Counter
55348,Eastern Distributor,"Eastern Distributor, South of Flinders Street",Arterial Road,Sydney,-33.884388,151.217804,0,Trafficorder Dual Tube Classifier
55355,Broadway,"Broadway, East of Derwent Lane",Primary Road,Sydney,-33.884663,151.192276,0,Trafficorder Dual Tube Classifier
55357,Lee Street,"Lee Street, North of Little Regent Street",Arterial Road,Sydney,-33.884666,151.203171,0,Trafficorder Loop Counter
55363,O'riordan Street,"O'riordan Street, North of Johnson Street",Arterial Road,Sydney,-33.907532,151.200974,0,Trafficorder Loop Counter
55383,George Street,"George Street, South of Little Regent Street",Arterial Road,Sydney,-33.883865,151.202652,0,Trafficorder Loop Counter
55385,Western Distributor,"Western Distributor, West of Allen Street",Motorway,Sydney,-33.8741,151.19487,0,Trafficorder Loop Counter
55386,Pyrmont Street,"Pyrmont Street, North of Murray Street",Arterial Road,Sydney,-33.872505,151.196762,0,Trafficorder Loop Counter
55388,Western Distributor,"Western Distributor, East of Harris Street",Motorway,Sydney,-33.874912,151.197159,0,Trafficorder Loop Counter
55393,Cleveland Street,"Cleveland Street, East of Woodburn Street",Arterial Road,Sydney,-33.888908,151.200851,0,Trafficorder Dual Tube Classifier
55394,Regent Street,"Regent Street, North of James Street",Arterial Road,Sydney,-33.889572,151.201599,0,Trafficorder Dual Tube Classifier
55406,Crown Street,"Crown Street, South of William Street",Distributor Road,Sydney,-33.874722,151.216217,0,Trafficorder Loop Counter
55411,King Street,"King Street, South of Newman Street",Arterial Road,Marrickville,-33.898334,151.178238,0,Trafficorder Loop Counter
55423,Allen Street,"Allen Street, East of Bulwara Road",Local Road,Sydney,-33.873695,151.195328,0,Trafficorder Loop Counter
55425,Pyrmont Street,"Pyrmont Street, North of Murray Street",Arterial Road,Sydney,-33.872505,151.196762,0,Trafficorder Loop Counter
