station_key,station_id,traffic_direction_name,cardinal_direction_name,classification_type,year,period,traffic_count,data_availability,data_reliability
55304,1003,COUNTER,SOUTH,UNCLASSIFIED,2019,OFF PEAK,19864,90,99
55304,1003,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,AM PEAK,25560,-1,-1
55304,1003,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKDAYS,41756,-1,-1
55304,1003,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKENDS,81710,-1,-1
55304,1003,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,49902,-1,-1
55304,1003,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,13626,91,95
55304,1003,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,67828,-1,-1
55304,1003,COUNTER,SOUTH,UNCLASSIFIED,2019,ALL DAYS,40987,90,99
55304,1003,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,23307,90,98
55304,1003,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,42400,-1,-1
55304,1003,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,34579,61,100
55304,1003,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,12969,90,91
55304,1003,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKENDS,39310,-1,-1
55304,1003,COUNTER,SOUTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,33249,61,100
55304,1003,COUNTER,SOUTH,UNCLASSIFIED,2019,AM PEAK,12591,90,92
55304,1003,COUNTER,SOUTH,UNCLASSIFIED,2019,PM PEAK,9301,91,100
55304,1003,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PM PEAK,22927,-1,-1
55304,1003,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKDAYS,91658,-1,-1
55304,1003,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,47766,90,97
55304,1003,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,OFF PEAK,43171,-1,-1
55304,1003,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,ALL DAYS,88753,-1,-1
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,10575,99,88
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,41754,99,95
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,43574,-1,-1
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,36917,-1,-1
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,12420,99,93
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,28461,76,100
55306,1004,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,20579,99,98
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2019,AM PEAK,6751,95,85
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,AM PEAK,10861,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,19115,-1,-1
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PM PEAK,11334,-1,-1
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,OFF PEAK,19252,-1,-1
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2019,OFF PEAK,9280,95,95
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,18129,96,96
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,11791,69,100
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,ALL DAYS,38603,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,5033,96,96
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,9972,95,96
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKENDS,31567,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,12032,69,100
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKDAYS,41447,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,4110,95,89
55307,1011,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,23823,-1,-1
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2019,PM PEAK,6301,95,93
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKENDS,15837,-1,-1
55307,1011,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,15730,-1,-1
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2019,ALL DAYS,20474,95,93
55307,1011,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKDAYS,22332,-1,-1
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2019,OFF PEAK,7428,84,98
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PM PEAK,7514,-1,-1
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,10190,69,100
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2019,ALL DAYS,15077,84,96
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,OFF PEAK,7541,85,99
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKENDS,26612,-1,-1
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,OFF PEAK,14969,-1,-1
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2019,PM PEAK,3341,85,99
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,WEEKDAYS,13659,-1,-1
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,WEEKENDS,12911,-1,-1
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2019,AM PEAK,4797,83,83
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,ALL DAYS,13434,85,98
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,20884,-1,-1
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2019,WEEKDAYS,15566,-1,-1
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2019,WEEKENDS,13701,-1,-1
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,PM PEAK,4173,86,94
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,AM PEAK,6742,-1,-1
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,ALL DAYS,28511,-1,-1
55329,2062,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,AM PEAK,1945,85,91
55329,2062,COUNTER,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,10694,69,100
55329,2062,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKDAYS,29225,-1,-1
55348,2243,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,10584,-1,-1
55348,2243,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,2955,95,90
55348,2243,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,19350,-1,-1
55348,2243,COUNTER,SOUTH,UNCLASSIFIED,2019,OFF PEAK,8375,95,98
55348,2243,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKENDS,25247,-1,-1
55348,2243,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,10992,-1,-1
55348,2243,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKENDS,14663,-1,-1
55348,2243,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,8710,69,100
55348,2243,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,ALL DAYS,27226,-1,-1
55348,2243,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PM PEAK,7883,-1,-1
55348,2243,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,5629,96,99
55348,2243,COUNTER,SOUTH,UNCLASSIFIED,2019,ALL DAYS,16345,95,95
55348,2243,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,2408,96,98
55348,2243,COUNTER,SOUTH,UNCLASSIFIED,2019,AM PEAK,3097,95,88
55348,2243,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,AM PEAK,6052,-1,-1
55348,2243,COUNTER,SOUTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,10640,69,100
55348,2243,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,OFF PEAK,14004,-1,-1
55348,2243,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKDAYS,27939,-1,-1
55348,2243,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKDAYS,16947,-1,-1
55348,2243,COUNTER,SOUTH,UNCLASSIFIED,2019,PM PEAK,5475,96,91
55348,2243,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,10881,95,97
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,7770,69,100
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,11189,89,93
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2019,AM PEAK,3586,89,91
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,11712,-1,-1
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,16469,-1,-1
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,9902,-1,-1
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,6129,90,92
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,ALL DAYS,23985,-1,-1
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKDAYS,13644,-1,-1
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PM PEAK,6326,-1,-1
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,8699,69,100
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKDAYS,25356,-1,-1
